"severity","file","sheet","cell_or_range","issue","evidence","proposed_fix","auto_fixable"
"BLOCKER","02_BENCHMARK_RENDIMIENTO_VALIDACION_DATOS.xlsx","RESUMEN_EJECUTIVO / SCENARIO_SUMMARY / CALIDAD_DATOS","RESUMEN_EJECUTIVO!A2:D9; SCENARIO_SUMMARY!A2:R4","No existe benchmark definitivo del agente cliente. El libro solo documenta datos legacy invalidados: CLIENT_SERVICE=0, ServiceStatus=Stopped en VR_IDLE/VR_TEC_RUNNER y SchemaVersion=1.0.","00_CONTEXT/DECISIONS.md D035; 05_LOGS/BENCHMARKS/validado/scenario_quality.csv; el propio libro declara NO_VALIDO_PARA_CONCLUSIONES_DEFINITIVAS_DE_RENDIMIENTO.","Repetir BASELINE_NO_VR, VR_IDLE y VR_TEC_RUNNER con el script corregido; exigir CLIENT_SERVICE en idle/runner y regenerar el Excel desde los nuevos logs.","false"
"BLOCKER","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","TEC_ATTACK_VALIDATION","E4:G12","Los Hits SOC y el perfil máximo mezclan o no identifican campañas. No coinciden con el JSONL pre-FP disponible: Excel=27/106/31/18/26/17/27/22/26; JSONL=21/106/15/18/11/17/4/2/6. TEC-008 figura P1_CRITICAL en Excel, pero en ese JSONL su máximo es P2_EVENT.","Carpeta_Compartida_TFM/inbox/soc_alerts_PRE_FP_20260618_144023.jsonl, SHA256 935CC7DA04A0B8BB0122BD96FBCDCD2258BF0BF3618DF032E045F944689D72CD, 200 filas.","Elegir un único RunId/ventana ofensiva como fuente oficial, documentarla y recalcular todas las filas por TEC y perfil directamente desde ese JSONL.","false"
"BLOCKER","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","TEC_ATTACK_VALIDATION / TRAZABILIDAD","G4:G12; A4:E14","La columna Detección confirmada=Sí no tiene trazabilidad fila a fila hasta alertas CLIENT_EVENT. Combina OK del runner (ejecución) con recuentos SOC de contexto, aunque runner OK no equivale a detección.","05_LOGS/FINAL_RUN_20260616_175138/RESUMEN_EVIDENCIA_FINAL.md marca TEC-001..TEC-008 FAIL en evidencia Velociraptor esperada; 07_DOCS/MATRIZ_COBERTURA_FINAL_P1_P2_P3_EVENT.md termina con Validación pendiente.","Añadir CampaignId, Artifact, Source, DetectionTime, ruta/hash JSONL y referencia de evento por cada TEC. Separar ejecución, visibilidad, detección, alerta RT y salida externa.","false"
"BLOCKER","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","GRAFICAS","Chart 1; categorías A5:A13 y valores B5:B13","El gráfico Alertas ofensivas por TEC incluye la fila A5 de rótulo y omite TEC-009 en la fila 14.","Serie Excel: =SERIES(""Alertas"",GRAFICAS!$A$5:$A$13,GRAFICAS!$B$5:$B$13,1); datos reales TEC en A6:B14.","Cambiar la serie a categorías A6:A14 y valores B6:B14 y volver a revisar visualmente.","true"
"BLOCKER","03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx","04_Control_Publicos","ControlPublicosTable A4:X61 frente a datos A4:AE61","La tabla formal termina en X y deja fuera Y:AE (Visibilidad, Detección_Regla, Alerta_RT, Artifact_Alertante, Salida_Externa, Veredicto_Alertabilidad y Siguiente_Paso). Filtros y estructura no cubren las columnas añadidas.","Metadatos COM: tabla ControlPublicosTable=A4:X61; celdas con datos hasta AE61.","Ampliar la tabla formal a A4:AE61 y verificar filtros/estilo.","true"
"BLOCKER","03_ANALISIS_TECNICAS_TFM_V4_REFERENCIA.xlsx","09_Benchmark_Plan","BenchmarkPlanTable A4:J11 frente a datos A4:J13","La tabla formal excluye las filas B7/P2 High y B8/P1 Critical (filas 12 y 13).","Metadatos COM: BenchmarkPlanTable=A4:J11; celdas A12:J13 contienen escenarios B7 y B8.","Ampliar la tabla a A4:J13 y revisar cualquier filtro o total dependiente.","true"
"BLOCKER","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","TEC_ATTACK_VALIDATION / TRAZABILIDAD","Fila TEC-009 (12); TRAZABILIDAD A4:E14","La transferencia TEC-009 es real, pero el Excel no enlaza la evidencia receptora original, por lo que su afirmación no es auditable desde el libro.","receiver_log.jsonl contiene POST /upload de 6245 bytes y SHA256 F7E58B...; upload_20260616_154943_944765.zip existe y su hash coincide; FINAL_RUN incluye summary, ZIP y 4104.","Añadir al libro rutas y SHA256 de receiver_log.jsonl, ZIP recibido, tec009_transfer_summary.json, 4104 y campaña exacta.","false"
"MAJOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","RESUMEN_EJECUTIVO / METRICAS / GRAFICAS","B11:B15; METRICAS B12:B15; GRAFICAS D5:E8, G5:H6, J5:K7","Los 15 hits FP v1.1 incluyen 3 eventos del RunId anterior TFM_FP_20260618_151244. Los agregados principales y gráficos usan P4=10 y total=15, en vez del conjunto limpio de 12 (P4=7, P3=5).","FP_HITS_RAW: EXACT_RUNID=3, TIME_WINDOW_INFERRED=9 y PREVIOUS_RUN_CONTAMINATION=3; filas 8,12,13 son contaminadas.","Separar métricas BRUTAS (15) y LIMPIAS (12). Usar las limpias en indicadores principales y gráficos; mantener las 3 contaminadas solo en auditoría.","false"
"MAJOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","FP_TEST_MATRIX","F4:F13","La asignación de hits por prueba suma 8, mientras el conjunto limpio tiene 12 hits. Cuatro P4 quedan sin asignar a FP_ID, pero la hoja no muestra una categoría No asignado ni el criterio temporal.","FP_TEST_MATRIX: FP-002=2, FP-003=1, FP-006=5; FP_HITS_RAW limpio=12.","Añadir fila/categoría UNASSIGNED o un campo de calidad por prueba; no imputar hits inferidos a FP_ID sin regla reproducible.","false"
"MAJOR","01_TECNICAS_FP_FIABILIDAD_DEFINITIVO.xlsx","RESUMEN_EJECUTIVO / METRICAS","B7,B16:B19; METRICAS B4:B12","Las métricas derivadas están hardcodeadas aunque la fuente/criterio dice FORMULA. El libro tiene 0 celdas de fórmula.","Inspección Excel COM: FormulaCells=0 en las ocho hojas; valores 1, 0, 0,333... y 1,666... son constantes.","Sustituir valores derivados por fórmulas enlazadas a las hojas de detalle y añadir controles de reconciliación.","true"
