Matriz de resultados · artifacts públicos por técnica																									
Vista principal para decidir si los artifacts públicos cubren cada técnica o si justifican artifacts custom.																									
																									
TEC	MITRE	Técnica	ProcessCreation	ServiceCreation	SysmonLogForward	Hayabusa.Rules CH	Hayabusa.Rules CHM	Hayabusa.Monitoring CH	Hayabusa.Monitoring CHM	Persistence/Triage	Cobertura pública	Custom necesario	Evidencia principal	Decisión	Visibilidad pública	Detección pública	Alerta RT pública	Artifact alertante público	Necesidad custom alerta	VR custom	Públicos CH	Wazuh base	Wazuh base - regla/evidencia	Wazuh custom	Wazuh custom - regla/evidencia
TEC-001	T1059.001	PowerShell	Sí: proceso (visibilidad)	N/A	ID1	HISTÓRICO; NO RT.	NO EJECUTADA.	2 high CH	NO EJECUTADA.	N/A	Detección CH específica	Parcial	TEC-001: PowerShell Base64	Custom P1-P4 se conserva como cobertura final	Sí	Sí CH	Sí CH	Windows.Hayabusa.Monitoring	Cubierto por custom validado	DETECTADA	DETECTADA	VISIBLE SIN DETECCIÓN	4104/Sysmon visibles; sin regla nativa aplicable a TEC-001.	DETECTADA	110301 (2 alertas); 110501 es genérica y no añade otra TEC.
TEC-002	T1059.003	Windows Command Shell	Sí: proceso (visibilidad)	N/A	ID1	HISTÓRICO; NO RT.	NO EJECUTADA.	0 high/critical	NO EJECUTADA.	N/A	Visibilidad, sin detección CH	Parcial	Reglas low; no CH	Custom P1-P4 se conserva como cobertura final	Sí	No CH	No CH	N/A	Cubierto por custom validado	DETECTADA	VISIBLE SIN DETECCIÓN	DETECTADA	92032 - T1059.003 - evento 2026-06-22T11:28:46.180Z.	VISIBLE SIN DETECCIÓN	Telemetría visible; sin regla custom específica T1059.003.
TEC-003	T1053.005	Scheduled Task	Sí: proceso (visibilidad)	N/A	ID1	HISTÓRICO; NO RT.	NO EJECUTADA.	1 high CH	NO EJECUTADA.	NO EJECUTADO EN CAMPAÑA FINAL	Detección CH específica	Parcial	Scheduled Task	Custom P1-P4 se conserva como cobertura final	Sí	Sí CH	Sí CH	Windows.Hayabusa.Monitoring	Cubierto por custom validado	DETECTADA	DETECTADA	VISIBLE SIN DETECCIÓN	92032/92052 alertan shell; sin mapeo T1053.005 específico.	VISIBLE SIN DETECCIÓN	Telemetría schtasks visible; sin regla custom T1053.005 activada.
TEC-004	T1547.001	Registry Run Keys / Startup Folder	Sí: proceso (visibilidad)	N/A	ID12/13	HISTÓRICO; NO RT.	NO EJECUTADA.	0 high/critical	NO EJECUTADA.	NO EJECUTADO EN CAMPAÑA FINAL	Visibilidad, sin detección CH	Sí	Run Key en medium; no CH	Custom P1-P4 se conserva como cobertura final	Sí	No CH	No CH	N/A	Cubierto por custom validado	DETECTADA	VISIBLE SIN DETECCIÓN	DETECTADA	92302 - T1547.001 - evento 2026-06-22T11:29:05.491Z.	VISIBLE SIN DETECCIÓN	110401=0; Run Key visible, sin detección custom.
TEC-005	T1569.002	Service Execution	Sí: proceso (visibilidad)	Sí: 7045	ID1/13 + 7045	HISTÓRICO; NO RT.	NO EJECUTADA.	4 high en ventana; 3 semánticos	NO EJECUTADA.	NO EJECUTADO EN CAMPAÑA FINAL	Detección CH específica	Parcial	Servicio/7045	Custom P1-P4 se conserva como cobertura final	Sí	Sí CH	Sí CH	Windows.Hayabusa.Monitoring	Cubierto por custom validado	DETECTADA	DETECTADA	VISIBLE SIN DETECCIÓN	92307 mapea T1543.003/creación; no se cuenta como T1569.002 específico.	DETECTADA	110402 (1 alerta) - T1569.002.
TEC-006	T1518.001	Security Software Discovery	Sí: proceso (visibilidad)	N/A	ID1	HISTÓRICO; NO RT.	NO EJECUTADA.	0 high/critical	NO EJECUTADA.	N/A	Visibilidad, sin detección CH	Sí	WMIC low/medium; no CH	Custom P1-P4 se conserva como cobertura final	Sí	No CH	No CH	N/A	Cubierto por custom validado	DETECTADA	VISIBLE SIN DETECCIÓN	DETECTADA	91835/92077 - T1518.001 - eventos 2026-06-22T11:29:30..11:29:32Z.	VISIBLE SIN DETECCIÓN	Discovery visible; sin regla custom específica activa en v2.
TEC-007	T1486	Data Encrypted for Impact	Sí: proceso (visibilidad)	N/A	ID11/proceso	HISTÓRICO; NO RT.	NO EJECUTADA.	0 high/critical	NO EJECUTADA.	N/A	Visibilidad, sin detección CH específica	Sí	Reglas genéricas; no cifrado específico	Custom P1-P4 se conserva como cobertura final	Sí	No CH	No CH	N/A	Cubierto por custom validado	DETECTADA	VISIBLE SIN DETECCIÓN	VISIBLE SIN DETECCIÓN	4104/ID11 visibles; sin alerta nativa específica T1486.	DETECTADA	110203 (4 alertas) - T1486.
TEC-008	T1485	Data Destruction	Sí: proceso (visibilidad)	N/A	Sin ID26 en ventana	HISTÓRICO; NO RT.	NO EJECUTADA.	0 high/critical	NO EJECUTADA.	N/A	Visibilidad, sin detección CH específica	Sí	ID26 no observado; sería forense	Custom P1-P4 se conserva como cobertura final	Sí	No CH	No CH	N/A	Cubierto por custom validado	DETECTADA	VISIBLE SIN DETECCIÓN	VISIBLE SIN DETECCIÓN	4104 visible; sin alerta nativa específica T1485.	DETECTADA	110202 (5 alertas totales); TEC detectada, con ruido documentado.
TEC-009	T1074.001 / T1560.001	Staging / Archive Collected Data	Sí: proceso (visibilidad)	N/A	ID1/3/11 + red	HISTÓRICO; NO RT.	NO EJECUTADA.	0 high/critical	NO EJECUTADA.	TrackNetwork: 3 filas destino por _ts; PID=0	Visibilidad red; sin detección CH	Sí	3 filas destino; HTTP 200 runner	Custom P1-P4 se conserva como cobertura final	Sí	No CH	No CH	N/A	Cubierto por custom validado	DETECTADA	VISIBLE SIN DETECCIÓN	VISIBLE SIN DETECCIÓN	Staging/ZIP visibles; sin alerta nativa específica de TEC-009.	VISIBLE SIN DETECCIÓN	110201=0; visibilidad asociada sin detección custom.
																									
																									
