Arquitectura custom validada P4-P1								
Cuatro artifacts CLIENT_EVENT principales con sources internas por técnica. La complejidad es cualitativa y no representa una medida de rendimiento. No se localizó P0 en validated.								
Perfil	Nombre exacto declarado	Fichero validado	SHA-256	Tipo	Sources internas	Técnicas declaradas	Uso campaña final	Limitaciones
P1	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1.yaml	8A1FF2654405AF9E4412D32EF0C2BE08A383924654AA764A04AB264BAA42EDD7	CLIENT_EVENT	4	TEC-004/005/007/008/009	Sí; 19 alertas	Complejidad operativa cualitativa alta; señales selectivas.
P2	Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Custom.TFM.HIDS.P2.High.Forensic.Event_v1.yaml	255C5F7CA39E362FE45106C662C4C35730EFF57A4063A1E9973FD11A6375FAA2	CLIENT_EVENT	5 declaradas / 4 ejecutadas	TEC-001 a TEC-009	Sí; 118 alertas	ScheduledTask Security opcional sin filas en ventana.
P3	Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1.yaml	C591CB849753194F6F87834C1E0F34EDE6CDFF6B31BC63650A1D281ADA1D410A	CLIENT_EVENT	13 declaradas / 12 ejecutadas	TEC-001 a TEC-009	Sí; 109 alertas	ZIP FileCreate sin filas; otras sources cubren TEC-009.
P4	Custom.TFM.HIDS.P4.Low.Basic_v2	Custom.TFM.HIDS.P4.Low.Basic_v2.yaml	1EBB29296A14475E38BCF34CA8DD9CC16572F4A8CA00A1AB0C3608E0B3097BC1	CLIENT_EVENT	5	TEC-001/002/003/004/005	Sí; 133 alertas	Complejidad operativa cualitativa baja; telemetría básica.
P0	No incorporado	No existe fichero P0 en 01_ARTIFACTS/validated	No aplica	LABORATORIO/DEBUG	0	No aplica	No utilizado	No se inventa artifact ni ejecución.
								
Relación entre artifact principal y sources internas ejecutadas								
Perfil	Sources ejecutadas	Sources declaradas sin filas	Técnicas con alertas	Señales				
P1	P1_EVENT_PowerShell4104_Basic; P1_EVENT_Sysmon_ID1_Process_Basic; P1_EVENT_System7045_ServiceCreation; P1_EVENT_TEC009_Sysmon_Context	Ninguna	TEC-004/005/007/008/009	4104; Sysmon 1/3; System 7045				
P2	PowerShell4104 Strong; Sysmon ID1; System 7045; Registry/File/Network Context	Forensic_EVENT_Security_ScheduledTask_Optional	TEC-001/002/003/004/005/006/008	4104; Sysmon 1/12/13; System 7045				
P3	12 sources TEC001-TEC009 con filas en ALERTAS_VR	TEC009_ZIP_FileCreate_Sysmon_Context	TEC-001 a TEC-009	4104; Sysmon 1/3; System 7045				
P4	CU001; CU002; CU003; CU004; CU005	Ninguna	TEC-001/002/003/004/005	ProcessCreation; System 7045				
								
								
								
								
								
								
