Plan paso a paso · prueba de alertas públicas							
Secuencia para comprobar no solo visibilidad, sino detección alertable con artifacts públicos antes de crear custom P4–P1.							
							
Paso	Configuración activa	Acción	Técnica	Qué revisar	Criterio de éxito	Resultado esperado	Excel
1	Solo Windows.Hayabusa.Monitoring	Ejecutar TEC-001 aislada	TEC-001	Client Events → Hayabusa.Monitoring	Regla PowerShell con Level/Title	Parcial o Sí	Alerta_RT
2	Solo Windows.Hayabusa.Monitoring	Ejecutar TEC-005 aislada	TEC-005	Hayabusa.Monitoring + System 7045	Regla de servicio o evento relacionado	Parcial	Alerta_RT
3	Solo Windows.Hayabusa.Monitoring	Ejecutar TEC-008 aislada	TEC-008	Hayabusa.Monitoring	Regla útil no masiva/no ruido	Probable parcial/ruido	Alerta_RT
4	Hayabusa.Monitoring + ServiceCreation	Ejecutar TEC-005	TEC-005	ServiceCreation	EventID 7045 en tiempo real	Sí técnico, alerta SOC pendiente	Detección
5	Hayabusa.Rules	Collection acotada por DateAfter/DateBefore	Todas	Results CSV	Reglas relevantes sin ruido excesivo	Parcial	Detección_Histórica
6	SysmonLogForward	Consultar ID 11 e ID 26	TEC-007/008/009	Sysmon ID 11/26	Evidencia forense concreta	Sí evidencia, no alerta	Visibilidad
7	SERVER_EVENT público o custom	Reenviar evento de Hayabusa/ServiceCreation	TEC detectada	Discord/Webhook	Mensaje con técnica, severidad, evidencia	EVALUADO SEPARADAMENTE; NO ES CAPACIDAD CLIENT_EVENT	Salida_Externa
							
TEC	¿Hayabusa.Monitoring suficiente?	Artifacts públicos adicionales	Resultado público esperado	Custom recomendado			
TEC-001	Puede ser suficiente si salta regla PowerShell	ProcessCreation / Hayabusa.Rules	Parcial/Sí	Sí para CU_ID y Discord limpio			
TEC-002	No garantizado	ProcessCreation / Hayabusa.Rules	Parcial	Sí			
TEC-003	Puede detectar si regla scheduled task	TaskScheduler / Persistence / ProcessCreation	Parcial	Sí/Parcial			
TEC-004	Puede detectar si regla Run Key	StartupItems / Autoruns / SysmonLogForward	Parcial	Sí			
TEC-005	Puede, pero ServiceCreation es más directo	ServiceCreation / System 7045	Sí/Parcial	Router para Discord			
TEC-006	No garantizado	ProcessCreation / 4104 / Hayabusa.Rules	Parcial	Sí			
TEC-007	No suficiente	Sysmon ID 11 / Hayabusa.Rules	Parcial	Sí, necesario			
TEC-008	No suficiente por ruido ID26/File Deleted	Sysmon ID 26 / 4104	Parcial/Ruido	Sí, necesario			
TEC-009	No suficiente para staging local	Sysmon ID 11 / 4104	Parcial	Sí, necesario			
