Wazuh detalle: ruleset base y reglas custom 110xxx							
Clasificación por regla y alerta real en la ventana TEC 2026-06-22 11:26:39..11:37:39Z. La unidad final es la técnica TEC única, no el número de alertas.							
							
rule_id	grupo	descripción	TEC	MITRE	alertas	veredicto para métrica	fuente / ventana
92032	BASE	Suspicious Windows cmd shell execution	TEC-002	T1059.003	14	DETECTADA TEC-002; otras coincidencias no suman TEC.	custom/wazuh_custom_alerts_delta.jsonl - 2026-06-22 11:26:39..11:37:39Z
92302	BASE	Run key modified using reg.exe	TEC-004	T1547.001	1	DETECTADA	custom/wazuh_custom_alerts_delta.jsonl - 2026-06-22 11:26:39..11:37:39Z
91835	BASE	PowerShell Antivirus Software discovery	TEC-006	T1518.001	1	DETECTADA	custom/wazuh_custom_alerts_delta.jsonl - 2026-06-22 11:26:39..11:37:39Z
92077	BASE	WMI AV product discovery	TEC-006	T1518.001	3	DETECTADA	custom/wazuh_custom_alerts_delta.jsonl - 2026-06-22 11:26:39..11:37:39Z
92307	BASE	New service creation in registry	TEC-005 relacionado	T1543.003	1	VISIBLE/ALERTA RELACIONADA; no T1569.002 específico.	custom/wazuh_custom_alerts_delta.jsonl - 2026-06-22 11:26:39..11:37:39Z
110201	CUSTOM	TFM TEC-009 posible exfiltracion HTTP ZIP	TEC-009	T1048.003 / T1560.001	0	VISIBLE SIN DETECCIÓN	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
110202	CUSTOM	TFM TEC-008 borrado destructivo PowerShell	TEC-008	T1485	5	DETECTADA; incluye ruido fuera de TEC-008.	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
110203	CUSTOM	TFM TEC-007 cifrado PowerShell	TEC-007	T1486	4	DETECTADA	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
110301	CUSTOM	TFM PowerShell sospechoso 4104	TEC-001	T1059.001	2	DETECTADA	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
110401	CUSTOM	TFM Run Key Sysmon	TEC-004	T1547.001	0	VISIBLE SIN DETECCIÓN	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
110402	CUSTOM	TFM instalacion de servicio Windows	TEC-005	T1569.002	1	DETECTADA	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
110501	CUSTOM	TFM PowerShell observada por Sysmon	TEC-001 contexto	T1059.001	44	REGLA GENÉRICA; no suma técnica adicional.	custom/tfm_wazuh_custom_detections_110xxx.jsonl - 2026-06-22 11:26:39..11:37:39Z
							
Resultado: Wazuh base 3/9 (TEC-002/004/006); Wazuh custom 4/9 (TEC-001/005/007/008). Unión complementaria 7/9; no tratarla como quinta solución.							
							
