Catálogo completo de artifacts custom, públicos y auxiliares																				
Artifact principal y source interna son niveles distintos. CLIENT_EVENT detecta; SERVER_EVENT, Router, Discord, webhook y receiver transportan o acreditan salida externa.																				
Bloque A · Artifacts custom TFM validados																				
Artifact	Categoría	Tipo	Modo	Perfil	Sources internas	Técnicas TEC	MITRE ATT&CK	Fuente de telemetría	Event IDs	Función metodológica	Uso en campaña final	Técnicas detectadas	Alertas CLIENT_EVENT	FP hits	Evidencia principal	Fichero validado	SHA-256	Estado	Decisión	Limitaciones
Custom.TFM.HIDS.P1.Critical.Priority.Event_v1	Custom TFM	CLIENT_EVENT	Client Monitoring	P1	4: P1_EVENT_PowerShell4104_Basic; P1_EVENT_Sysmon_ID1_Process_Basic; P1_EVENT_System7045_ServiceCreation; P1_EVENT_TEC009_Sysmon_Context	TEC-004/005/007/008/009	T1547.001; T1569.002; T1486; T1485; T1048.003/T1560.001	PowerShell, Sysmon, System	4104; 1; 3; 11; 7045	Correlación/prioridad crítica	Sí	5/9	19	0	normalized/alertas_vr.csv; ALERTAS_VR	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1.yaml	8A1FF2654405AF9E4412D32EF0C2BE08A383924654AA764A04AB264BAA42EDD7	VALIDADO	Mantener	Señales de alta prioridad; el volumen no equivale a cobertura.
Custom.TFM.HIDS.P2.High.Forensic.Event_v1	Custom TFM	CLIENT_EVENT	Client Monitoring	P2	5 declaradas; 4 con alertas. Incluye PowerShell, Process, 7045, Registry/File/Network y ScheduledTask opcional	TEC-001 a TEC-009 declaradas	T1059.001; T1059.003; T1053.005; T1547.001; T1569.002; T1518.001; T1486; T1485; T1048.003	PowerShell, Sysmon, System, Security opcional	4104; 1; 3; 11; 12/13/14; 23/26; 7045; 4698/4699	Evidencia forense y contexto	Sí	7/9	118	0	normalized/alertas_vr.csv; ALERTAS_VR	Custom.TFM.HIDS.P2.High.Forensic.Event_v1.yaml	255C5F7CA39E362FE45106C662C4C35730EFF57A4063A1E9973FD11A6375FAA2	VALIDADO	Mantener	Source Security ScheduledTask Optional sin filas en la ventana final.
Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	Custom TFM	CLIENT_EVENT	Client Monitoring	P3	13 declaradas; 12 con alertas. Sources específicas TEC001-TEC009	TEC-001 a TEC-009	T1059.001; T1059.003; T1053.005; T1547.001; T1569.002; T1518.001; T1486; T1485; T1048.003	PowerShell, Sysmon, System	4104; 1; 3; 7045	Detección de comportamiento	Sí	9/9	109	0	normalized/alertas_vr.csv; ALERTAS_VR	Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1.yaml	C591CB849753194F6F87834C1E0F34EDE6CDFF6B31BC63650A1D281ADA1D410A	VALIDADO	Mantener	TEC009_ZIP_FileCreate_Sysmon_Context no generó filas en ventana; otras sources cubren TEC-009.
Custom.TFM.HIDS.P4.Low.Basic_v2	Custom TFM	CLIENT_EVENT	Client Monitoring	P4	5: CU001 PowerShell; CU002 CMD; CU003 ScheduledTask; CU004 RunKeys; CU005 ServiceCreation	TEC-001/002/003/004/005	T1059.001; T1059.003; T1053.005; T1547.001; T1569.002	Sysmon y System	1; 7045	Señales básicas de baja complejidad	Sí	5/9	133	0	normalized/alertas_vr.csv; ALERTAS_VR	Custom.TFM.HIDS.P4.Low.Basic_v2.yaml	1EBB29296A14475E38BCF34CA8DD9CC16572F4A8CA00A1AB0C3608E0B3097BC1	VALIDADO	Mantener	Telemetría básica; requiere perfiles superiores para semántica completa.
																				
Bloque B · Artifacts públicos, históricos, transporte y evidencia externa																				
Artifact	Categoría	Tipo	Modo	Perfil	Sources internas	Técnicas TEC	MITRE ATT&CK	Fuente de telemetría	Event IDs	Función metodológica	Uso en campaña final	Técnicas detectadas	Alertas CLIENT_EVENT	FP hits	Evidencia principal	Fichero validado	SHA-256	Estado	Decisión	Limitaciones
Windows.Events.ProcessCreation	Público	CLIENT_EVENT	Client Monitoring	Visibilidad	N/A	TEC-001/002/003/004/006; contexto 007/008/009	Varios	Windows/Sysmon proceso	1	Telemetría de proceso	Sí; campaña positiva	0/9 específicas	Telemetría	No aplicable	Campaña pública normalizada	Built-in	No aplica	POSITIVO	Mantener	Visibilidad no equivale a detección semántica.
Windows.Events.ServiceCreation	Público	CLIENT_EVENT	Client Monitoring	Visibilidad	N/A	TEC-005	T1569.002 contextual	System	7045	Visibilidad de creación de servicio	Sí; campaña positiva	0/9 específicas	1 evento 7045	No aplicable	Campaña pública normalizada	Built-in	No aplica	POSITIVO	Mantener	El evento 7045 requiere interpretación; no se suma a Hayabusa CH.
Windows.Sysinternals.SysmonLogForward	Público	CLIENT_EVENT	Client Monitoring	Visibilidad/forense	N/A	TEC-004/007/008/009	Varios	Sysmon	1/3/11/12/13/14/26	Reenvío de telemetría	Sí; campaña positiva	0/9 específicas	Telemetría	No aplicable	Campaña pública normalizada	Built-in	No aplica	POSITIVO	Mantener	ID26 es evidencia forense, no alerta individual.
Windows.Hayabusa.Monitoring	Público	CLIENT_EVENT	Client Monitoring CH	P3	Reglas Sigma/Hayabusa	TEC-001/003/005	T1059.001; T1053.005; T1569.002	EVTX/Sigma	Varios	Detección específica pública	Sí; campaña positiva	3/9	7 High en TEC	4 High / 1 caso	Campaña Hayabusa CH	Artifact público	No aplica	POSITIVO	Mantener CH	CHM no ejecutada; FP público separado del runner custom.
Windows.ETW.Monitoring	Público	CLIENT_EVENT	Client Monitoring	Experimental	N/A	No evaluable	No evaluable	ETW	No determinado	Visibilidad potencial	Campaña incompleta	NO EVALUABLE	0	No aplicable	Evidencia pública incompleta	Artifact público	No aplica	NO CONCLUYENTE	Documentar	Faltan runner/log/summary TEC y parámetros.
Generic.Events.TrackNetworkConnections	Público	CLIENT_EVENT	Client Monitoring	Contexto	N/A	TEC-009 contextual	T1048.003 contextual	netstat/diff	N/A	Visibilidad de conexión	Sí; campaña positiva	0/9 específicas	3 filas destino	No aplicable	Conexión 192.168.1.129:8088	Artifact público	No aplica	POSITIVO	Mantener con filtro	PID=0 y ProcInfo vacío; sin atribución fiable a powershell.exe.
Windows.Hayabusa.Rules	Histórico	HUNT	Hunt histórico	No RT	Reglas Sigma/Hayabusa	Histórico	Varios	EVTX	Varios	Análisis histórico	No ejecutado como campaña final independiente	No incluido	No RT	No aplicable	Resultados históricos	Artifact público	No aplica	FUERA DE CAMPAÑA	Conservar como contraste	No es alerta CLIENT_EVENT en tiempo real.
Server.Alerts.TrackNetworkConnections	Transporte	SERVER_EVENT	Server Monitoring	Transporte	N/A	No aplica	No aplica	Alertas servidor	N/A	Enrutamiento	No incluido	No aplica	No detector	No aplicable	Arquitectura pública	Companion	No aplica	TRANSPORTE	No contar	No detector CLIENT_EVENT.
Custom.TFM.HIDS.Router.JSONL.Discord.SOC_v3	Custom auxiliar	SERVER_EVENT	Server Monitoring	Transporte	27 routes	Todas las alertables	Hereda del detector	watch_monitoring	N/A	Normalización JSONL/Discord	No acreditado como detector	No aplica	No detector	No aplicable	YAML validado	Custom.TFM.HIDS.Router.JSONL.Discord.SOC_v3.yaml	574E3E8BC03E7C4D655400D5BB5527771E438CA67C413853A0AAAC7A10C5E33F	VALIDADO / TRANSPORTE	Mantener separado	Transporta; no detecta ni suma cobertura.
Receiver HTTP TEC-009	Evidencia externa	AUXILIAR	Runner independiente	Salida externa	N/A	TEC-009	T1048.003 contextual	Receptor HTTP	N/A	Acreditar upload externo	Sí, por runner	No aplica	HTTP 200	No aplicable	HTTPStatus=200; ZIP=6245 B; SHA-256 coincidente	Summary de runner	Trazado en FUENTES	EVIDENCIA	Conservar separado	No es artifact detector ni capacidad de TrackNetworkConnections.
