Resumen ejecutivo		
KPIs principales y conteos reconciliados.		
		
KPI	valor	detalle
TEC reales planificadas	9	TEC-001 a TEC-009
TEC reales ejecutadas	9	OK
TEC OK	9	
TEC WARN	0	
TEC FAIL	0	
FP planificados	10	FP-001 a FP-010
FP OK	10	
FP WARN	0	
FP FAIL	0	
FP SKIPPED	0	
Total alertas VR REAL incluidas	379	Filas CLIENT_EVENT en carpeta real y ventana del runner.
Alertas VR P1	19	
Alertas VR P2	118	
Alertas VR P3	109	
Alertas VR P4	133	
Hits FP	0	summary.json / vr_hits.csv
Wazuh base: alertas en ventana baseline	58	Sin reglas 110xxx y sin marcadores TEC; contexto de ruido/visibilidad, no cobertura técnica.
Wazuh campaña TEC: alertas totales	110	54 alertas nativas + 56 alertas 110xxx; no interpretar 110 como técnicas detectadas.
Wazuh custom: alertas 110xxx	56	Cinco rule_id activadas; cuatro técnicas TEC únicas detectadas; 110201=0.
Gaps	1	110201=0 / TEC-009
Campañas públicas ejecutadas	6	Seis carpetas esperadas presentes.
Campañas públicas positivas	5	ETW queda no concluyente.
Campañas públicas no concluyentes	1	ETW: evidencia TEC incompleta.
Eventos públicos TEC canónicos	516	521 filas raw; no equivalen todas a detecciones.
Filas públicas FP en ventana	127	Telemetría/coincidencias; capas separadas.
TEC detectadas por Hayabusa CH	3	TEC-001/003/005; high=7, critical=0.
FP Hayabusa CH	4	4 high, 3 eventos subyacentes, 1 caso FP-003.
TrackNetwork TEC-009	3	Conexión hacia 192.168.1.129:8088; eventos added/removed; PID=0 y ProcInfo vacío; sin atribución fiable a powershell.exe.
Salida externa TEC-009	HTTP 200	Runner independiente: HTTPStatus=200, UploadSucceeded=True, ZIP=6245 bytes, SHA-256 coincidente y respuesta del receptor confirmada; no atribuible a TrackNetworkConnections.
TEC detectadas por Wazuh base	0	3/9: TEC-002, TEC-004 y TEC-006; ruleset nativo 92032/92302/91835/92077.
TEC detectadas por Wazuh custom	0	4/9: TEC-001, TEC-005, TEC-007 y TEC-008; rules 110301/110402/110203/110202.
Aportación de reglas custom Wazuh	+4 complementarias	La unión base+custom alcanza 7/9 como dato complementario; la mejora exige ingeniería, validación y ajuste de ruido.
Artifacts custom detectores	4	P1-P4 CLIENT_EVENT; nombres exactos y hashes en catálogo.
Artifact custom de transporte	1	Router SERVER_EVENT validado; no suma detección.
Sources detectoras declaradas	27	P1=4; P2=5; P3=13; P4=5.
Sources con alertas finales	25	Dos sources declaradas no generaron filas en la ventana final.
P0 Debug	NO LOCALIZADO	No existe YAML P0 en validated; no se inventa uso ni resultado.
