Matriz definitiva de seis campañas CLIENT_EVENT públicas																			
Criterio: CLIENT_EVENT aporta visibilidad, detección o alerta RT según el artifact; SERVER_EVENT, Router y runner se evalúan separadamente como transporte o salida externa.																			
																			
Artifact	Tipo	HIDS RT	Visibilidad	Detección	Alerta RT	Discord	Salida externa HTTP	Técnicas principales	Veredicto	Configuración / criterio	Ventana TEC UTC	Ventana FP UTC	Filas TEC	Filas FP	FP CH high/critical	Casos FP	Fuentes exactas	Resultado campaña	Limitación / anomalía
Windows.Hayabusa.Monitoring	CLIENT_EVENT	Sí	Sí	Sí (Sigma CH)	Sí	No	No	TEC-001/003/005 en CH high	Positivo con FP; no extrapolar niveles inferiores	Control planificado Critical/High/Stable; configuración efectiva no preservada	2026-07-12T13:25:03.318Z–13:31:18.641Z	2026-07-12T13:41:00.378Z–13:41:29.197Z	185	73	4	1	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\04_HayabusaMonitoring_CH\Windows.Hayabusa.Monitoring_REAL.json | ..._FP.json | ventanas	POSITIVO	185 matches canónicos/187 filas raw TEC: high=7, critical=0. FP CH: 4 high/3 eventos/FP-003. No existe campaña CHM.
Windows.Events.ServiceCreation	CLIENT_EVENT	Sí	Sí: 7045	No: 7045 aporta visibilidad, no atribuye malicia	No	No	No	TEC-005	Creación de servicio observada	Event ID 7045	2026-07-12T12:26:12.998Z–12:33:05.540Z	2026-07-12T12:37:57.100Z–12:38:39.571Z	1	0	0	0	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\02_ServiceCreation\Windows.Events.ServiceCreation_REAL.json | ..._FP.json | summary TEC	POSITIVO	StartExit=1053 esperado para wrapper cmd.exe; no invalida la creación observada ni el 7045.
Windows.Events.ProcessCreation	CLIENT_EVENT	Sí	Sí	No por sí solo	No por sí solo	No	No	TEC-001 a TEC-009	Telemetría de procesos	Monitoring; CommandLine/parent/PID	2026-07-12T11:50:43.356Z–11:58:00.217Z	2026-07-12T12:01:47.092Z–12:02:15.729Z	89	18	0	0	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json | ..._FP.json | ventanas	POSITIVO	Proceso observado no equivale a técnica detectada; no usar rutas/nombres TEC como IOC.
Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Sí	Sí	No por sí solo	No por sí solo	No	No	Contexto TEC-001 a TEC-009	Reenvío/forense	Sysmon IDs observados 1,3,11,12,13	2026-07-12T12:46:16.670Z–12:52:34.859Z	2026-07-12T12:55:41.452Z–12:56:21.064Z	113	24	0	0	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\03_SysmonLogForward\Windows.Sysinternals.SysmonLogForward_REAL.json | ..._FP.json | ventanas	POSITIVO	Sin ID 14/26. Dos ID3 al destino se atribuyen a powershell.exe en esta campaña; siguen siendo visibilidad/forense. ID 26 nunca sería alerta individual.
Windows.ETW.Monitoring	CLIENT_EVENT	Sí	Sin coincidencias	No acreditada	No	No	No	No atribuible	0 filas, evidencia incompleta	Parámetros TEC no preservados	2026-07-12T14:22:25.782Z–14:30:04.869Z	2026-07-12T14:32:20.307Z–14:32:57.519Z	0	0	0	0	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\05_ETWMonitoring\Windows.ETW.Monitoring_REAL.json | ..._FP.json | ventanas	NO CONCLUYENTE	Faltan runner/log/summary TEC y manifiesto de configuración; no escribir ‘ETW no funciona’ ni ‘negativo válido’.
Generic.Events.TrackNetworkConnections	CLIENT_EVENT	Sí	Sí: destino observado	No por sí solo	No por sí solo	No	Sí, acreditada por runner independiente; no atribuible al CLIENT_EVENT	TEC-009 contextual	Conexión visible; salida HTTP acreditada aparte	Diff added/removed; filtro por _ts	2026-07-12T14:43:12.205Z–14:50:12.514Z	2026-07-12T14:52:39.396Z–14:53:04.206Z	128	12	0	0	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\06_TrackNetworkConnections\Generic.Events.TrackNetworkConnections_REAL.json | summary TEC	POSITIVO	TrackNetwork acreditó conexión hacia 192.168.1.129:8088 y eventos added/removed; PID=0 y ProcInfo vacío, sin atribución fiable a powershell.exe. Runner independiente: HTTPStatus=200; UploadSucceeded=True; ZIP=6245 bytes; SHA-256 coincidente; respuesta del receptor confirmada.
TOTAL 6 CAMPAÑAS													516	127	4	1	Totales de filas por campaña; no equivalen a detecciones entre artifacts heterogéneos.	5 positivos; 0 negativos válidos; 1 no concluyentes	Salida externa TEC-009 acreditada por runner independiente; no atribuible a TrackNetworkConnections.
Componentes históricos, de transporte y salida externa — no incluidos en la cobertura de los seis CLIENT_EVENT evaluados																			
Windows.Hayabusa.Rules	CLIENT / hunt histórico	No	Sí, histórica	Histórica; no campaña final	No	No	No	No incluida	Hunt histórico; no alerta RT	No ejecutado como campaña final independiente								FUERA DE CAMPAÑA	No incluido en la cobertura de los seis CLIENT_EVENT evaluados.
Server.Alerts.TrackNetworkConnections	SERVER_EVENT	No aplica	No detector	No detector	Transporte	No	No	No aplica	Transporte server-side; no detector	No incluido en cobertura								NO APLICABLE	SERVER_EVENT: transporta; no detecta y no cuenta en la cobertura.
Custom Router Discord	SERVER_EVENT	No aplica	No detector	No detector	Normalización y salida externa	Sí	No	No aplica	Router Discord; no detector	No incluido en cobertura								NO APLICABLE	SERVER_EVENT: normaliza y notifica; no sustituye la detección CLIENT_EVENT.
