Control operativo · pruebas de artifacts públicos																														
Checklist completo para ejecutar artifacts públicos antes de diseñar los artifacts custom P4–P1.																														
																														
ID_Prueba	Fase	Perfil	Prioridad	Artifact_Publico	Modo	Fuente	TEC	MITRE	Táctica	Objetivo_Prueba	Configuración	Pasos_Validacion	Resultado	Regla_Evento	Severity	MITRE_Detectado	Evidencia	FP_Risk	Custom_Necesario	Estado	Fecha	Captura_Log	Observaciones	Visibilidad	Detección_Regla	Alerta_RT	Artifact_Alertante	Salida_Externa	Veredicto_Alertabilidad	Resultado_Campaña
PUB-001	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-001	T1059.001	Execution	Comprobar visibilidad pública de PowerShell sospechoso	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1059.001	powershell.exe -NoProfile -ExecutionPolicy Bypass observado	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-002	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-002	T1059.003	Execution	Comprobar visibilidad pública de cmd.exe / chaining	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1059.003	cmd.exe observado	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-003	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-003	T1053.005	Execution/Persistence	Comprobar visibilidad pública de schtasks.exe	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1053.005	schtasks.exe observado	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-004	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-004	T1547.001	Persistence	Comprobar visibilidad pública de reg.exe sobre Run/RunOnce	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1547.001		Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-005	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-005	T1569.002	Execution	Comprobar visibilidad pública de sc.exe / servicio	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1569.002	sc.exe/proceso observable; servicio cubierto por ServiceCreation	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-006	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-006	T1518.001	Discovery	Comprobar visibilidad pública de security software discovery	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1518.001		Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-007	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-007	T1486	Impact	Comprobar visibilidad pública de ejecución de script de cifrado	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1486	visibilidad de proceso, no cifrado	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-008	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-008	T1485	Impact	Comprobar visibilidad pública de borrado destructivo	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1485	visibilidad de proceso, no resumen de borrado	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-009	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ProcessCreation	CLIENT_EVENT	Process creation	TEC-009	T1074.001/T1560.001	Collection	Comprobar visibilidad pública de staging/archivo	Client Monitoring activo	Ejecutar técnica y revisar Client Events	Visible; 89 filas TEC / 18 FP en ventana	ProcessCreation event	N/A	T1074.001/T1560.001	visibilidad de proceso, no staging semántico	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\01_ProcessCreation\Windows.Events.ProcessCreation_REAL.json	Telemetría; no detección por nombre de proceso.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
PUB-010	F1 Built-in básico	P4 Low	Obligatorio	Windows.Events.ServiceCreation	CLIENT_EVENT	System Event 7045	TEC-005	T1569.002	Execution	Comprobar creación de servicio	Client Monitoring activo	Crear servicio temporal, revisar EventID 7045	1 evento 7045 TEC; 0 FP	Event ID 7045	N/A	T1569.002	ServiceName/ImagePath; StartExit=1053 esperado	Bajo	Sí	CERRADO	46215	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS\02_ServiceCreation\Windows.Events.ServiceCreation_REAL.json	Creación observada; visibilidad, no detección de actividad maliciosa.	Sí	No	No	N/A	No	VISIBILIDAD	POSITIVO
