Comparacion VR / Wazuh												
Comparación metodológica: unidad principal = técnicas TEC detectadas sobre 9; alertas y eventos se mantienen como contexto separado.												
												
herramienta_campana	eventos_crudos	alertas	PowerShell_4104	Sysmon_ID_1	Sysmon_ID_11	System_7045	P1_P2_P3_P4	reglas_110xxx	TEC_009	ruido	limitaciones	Cuatro artifacts principales P1-P4, 25 sources con alertas y 9/9 técnicas. El volumen 379 no es la unidad de cobertura.
Velociraptor custom REAL 24/06	No aplica: se consolidan filas CLIENT_EVENT exportadas, no archivo bruto tipo archives.	379	14	346	0	4	P1=19; P2=118; P3=109; P4=133	No aplica	Upload controlado documentado por summary; receiver_log ausente.	Filas fuera de ventana excluidas; JSONL/Discord no usados como deteccion.	CLIENT_EVENT detecta; SERVER_EVENT/JSONL no localizado para REAL.	Separar visibilidad, detección y alerta CLIENT_EVENT de transporte SERVER_EVENT/Router y salida externa.
Wazuh base (ventana base sin 110xxx)	902	58	34	457	413	0	No equivalente; sin reglas custom TFM.	0	Sin regla custom 110201.	58 alertas base sobre 902 archives.	Visibilidad base sin IOA TFM custom.	Baseline de ruido/visibilidad: 58 alertas y ningún marcador TEC. No se usa para atribuir cobertura técnica.
Wazuh campaña TEC (ruleset base + custom)	18285	110	99	127	24	1	Equivalencia por niveles/reglas 110xxx.	56 alertas 110xxx	110201=0; gap TEC-009.	110 alertas sobre 18.285 archives; 56 alertas TFM 110xxx.	110201 no dispara; revisar forma real de upload.	110 alertas totales = 54 nativas + 56 custom 110xxx; el total combinado no es una quinta solución.
Artifacts públicos 12/07	521 filas heterogéneas en ventana; no comparables con archives/CLIENT_EVENT custom	CH high=7; 3/9 TEC específicas; Service 7045=1	Incluido en Process/Hayabusa	Sysmon ID1 incluido en reenvío	Sysmon ID11 incluido en reenvío	Service 7045=1	No aplica: artifacts públicos	No aplica	TrackNetwork: conexión visible sin atribución fiable; HTTPStatus=200 solo por runner independiente.	Hayabusa FP CH=4 matches/1 caso	ETW no concluyente; TrackNetwork sin PID/proceso	Comparación por capacidades HIDS; SERVER_EVENT, Router, Discord y runner HTTP quedan fuera de la cobertura de los seis CLIENT_EVENT.
												
Sistema	Técnicas visibles	Técnicas detectadas específicamente	Alerta RT	Tipo de reglas	Observaciones							
Velociraptor custom	9/9	/9	9/9	Artifacts custom P1-P4 CLIENT_EVENT	Detección y alerta específica 9/9; transporte y salida externa se evalúan aparte.							
Velociraptor públicos CH	9/9	/9	3/9	Artifacts públicos + Hayabusa Sigma CH	Detección 3/9: TEC-001, TEC-003 y TEC-005; CHM no ejecutada.							
Wazuh base	9/9	/9	3/9	Ruleset nativo Wazuh	TEC-002, TEC-004 y TEC-006; rules 92032, 92302, 91835 y 92077. No se cuentan alertas genéricas.							
Wazuh custom	9/9	/9	4/9	Reglas TFM 110xxx	TEC-001, TEC-005, TEC-007 y TEC-008; rules 110301, 110402, 110203 y 110202. 110201=0.							
												
Desglose Wazuh base/custom - unidad: técnicas TEC sobre 9, no número de alertas												
Grupo	TEC detectadas	Rule IDs principales	Alertas fuente	Ventana UTC	Limitaciones							
Wazuh base	TEC-002, TEC-004, TEC-006	92032; 92302; 91835; 92077	54 alertas nativas dentro de la campaña TEC	2026-06-22 11:26:39..11:37:39Z	La ventana base separada no contiene marcadores TEC. 92307/T1543.003 y schtasks genérico se tratan como visibilidad/alerta relacionada.							
Aportación custom Velociraptor: P4 aporta señales básicas; P3 cubre 9/9 con semántica; P2 añade contexto forense; P1 prioriza señales críticas. Router SERVER_EVENT queda fuera de la detección.												
Unión base + custom (complementaria)	7/9	Unión de los dos grupos; no quinta solución	No sumar alertas como TEC	Misma campa\u00F1a TEC	Persisten gaps específicos TEC-003 y TEC-009 en Wazuh; la personalización mejora cobertura con coste de ingeniería y ajuste.							
												
Lectura justa: Velociraptor custom acredita 9/9; Hayabusa CH 3/9; Wazuh base 3/9 y Wazuh custom 4/9. Las reglas custom añaden cobertura complementaria, pero requieren diseño, validación y afinado para controlar el ruido.												
												
