Evaluación VR · resultados consolidados																					
Hoja maestra para registrar la evaluación final de Velociraptor: detección, evidencia, falsos positivos y decisión custom.																					
																					
ID_Prueba	ID_Interna	MITRE	Táctica	Escenario_Prueba	Artifact_Usado	Tipo_Artifact	Modo	Resultado_Detección	Ground_Truth	Fuente_Evidencia	Evidencia_Host_Observada	Discord	Custom_Necesario	Conclusión_Técnica							
VR-001	TEC-001	T1059.001	Execution	Evaluación PowerShell	Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1; Custom.TFM.HIDS.P4.Low.Basic_v2	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: CU001_Source_TEC001_PowerShell_Basic; Forensic_EVENT_PowerShell4104_Strong_By_Technique; TEC001_PowerShell_4104	ProcessCreation visible + Hayabusa CH: 2 high	Correcto	No	Visible por proceso y eventos PowerShell 4104; detección básica, requiere contexto sobre parámetros y script blocks.							
VR-002	TEC-002	T1059.003	Execution	Evaluación Windows Command Shell	Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1; Custom.TFM.HIDS.P4.Low.Basic_v2	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: CU002_Source_TEC002_CMD_Basic; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; TEC002_CMD_Sysmon	ProcessCreation/Sysmon visibles; 0 high/critical CH	Correcto	No	Visible por ejecución de cmd.exe y línea de comandos; detección básica, con riesgo de confusión con administración legítima.							
VR-003	TEC-003	T1053.005	Execution	Evaluación Scheduled Task	Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1; Custom.TFM.HIDS.P4.Low.Basic_v2	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: CU003_Source_TEC003_ScheduledTask_Basic; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; TEC003_ScheduledTask_Sysmon	ProcessCreation visible + Hayabusa CH: 1 high	Correcto	No	Visible por schtasks.exe y ciclo de creación, ejecución y eliminación; requiere diferenciar tarea temporal benigna de persistencia real.							
VR-004	TEC-004	T1547.001	Persistence	Evaluación Registry Run Keys / Startup Folder	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1; Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1; Custom.TFM.HIDS.P4.Low.Basic_v2	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: CU004_Source_TEC004_RunKeys_Basic; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; Forensic_EVENT_Sysmon_Registry_File_Network_Context; P1_EVENT_Sysmon_ID1_Process_Basic; TEC004_RunKey_Sysmon	Sysmon 12/13 visible; reglas medium fuera de CH	Correcto	No	Visible parcialmente por actividad de registro; requiere correlación entre clave Run, valor configurado y proceso asociado.							
VR-005	TEC-005	T1569.002	Execution	Evaluación Service Execution	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1; Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1; Custom.TFM.HIDS.P4.Low.Basic_v2	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: CU005_Source_TEC005_ServiceCreation_7045; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; Forensic_EVENT_System_7045_ServiceCreation; P1_EVENT_Sysmon_ID1_Process_Basic; P1_EVENT_System7045_ServiceCreation; TEC005_Service_System7045	ServiceCreation 7045 + Hayabusa: 4 high (3 semánticos)	Correcto	No	Evidencia fuerte por Windows Event ID 7045; detección sólida al combinar ServiceName, ImagePath y contexto temporal.							
VR-006	TEC-006	T1518.001	Discovery	Evaluación Security Software Discovery	Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: Forensic_EVENT_PowerShell4104_Strong_By_Technique; Forensic_EVENT_Sysmon_ID1_Process_By_Technique; TEC006_SecuritySoftwareDiscovery_4104; TEC006_SecuritySoftwareDiscovery_Sysmon	WMIC/proceso visible; 0 high/critical CH	Correcto	No	Visible por PowerShell/WMI/WMIC y eventos 4104; requiere contexto para evitar clasificar consultas administrativas como maliciosas.							
VR-007	TEC-007	T1486	Impact	Evaluación Data Encrypted for Impact	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: P1_EVENT_PowerShell4104_Basic; TEC007_DataEncryptedForImpact_4104	Proceso/ID11 y reglas genéricas; sin regla CH específica de cifrado	Correcto	Sí	Visible por PowerShell 4104, creación de ficheros .aes y escritura en disco; emulación controlada, no ransomware real.							
VR-008	TEC-008	T1485	Impact	Evaluación Data Destruction	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1; Custom.TFM.HIDS.P2.High.Forensic.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: Forensic_EVENT_Sysmon_ID1_Process_By_Technique; P1_EVENT_PowerShell4104_Basic; TEC008_DataDestruction_4104	Proceso visible; sin ID26 y sin regla CH específica de destrucción	Correcto	Sí	Visible por PowerShell 4104 y Sysmon Event ID 26; requiere agregación para evitar ruido por borrado masivo de ficheros.							
VR-009	TEC-009	T1074.001 / T1560.001	Collection	Evaluación Staging / Archive Collected Data	Custom.TFM.HIDS.P1.Critical.Priority.Event_v1; Custom.TFM.HIDS.P3.Medium.Behavioral.Event_v1	Custom validado	CLIENT_EVENT	DETECTADA	Positivo	ALERTAS_VR / alertas_vr.csv; sources: P1_EVENT_Sysmon_ID1_Process_Basic; P1_EVENT_TEC009_Sysmon_Context; TEC009_HTTP_Network_Sysmon_Context; TEC009_HTTP_Upload_Sysmon_Process_Context; TEC009_HTTP_ZIP_Upload_4104	TrackNetwork: 3 filas destino sin PID; runner HTTP 200/UploadSucceeded=True	Correcto	Sí	Visible por staging, ZIP y actividad HTTP; upload documentado con HTTP 200 y hash, pero con limitación si no existe receiver log o ZIP recibido.							
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
