README - alcance y metodologia	
Libro definitivo consolidado; preserva custom, artifacts públicos, FP y separación Wazuh base/custom.	
	
campo	Consolidar visibilidad, detección CLIENT_EVENT, artifacts custom/públicos, alertabilidad, FP y comparación Wazuh para la memoria del TFM.
Objetivo	Consolidar visibilidad, deteccion, alertas/perfiles, FP y comparacion Wazuh para memoria TFM.
Fecha de revisión final	Maestro actual de ENTREGABLE; evidencia normalizada y YAML validados tienen prioridad.
Excel base	04_EVIDENCE\Analisis_Tecnicas_TFM_V.4.xlsx
Rutas VR	05_LOGS\Validas\Prueba_24_06_2026 y 05_LOGS\Validas\Prueba_24_06_2026_FP
Rutas Wazuh	10_WAZUH\TFM_WAZUH_VISIBILIDAD_EVIDENCE.tar.gz
Criterio REAL	Solo filas CLIENT_EVENT de carpeta real dentro de 2026-06-24T12:50:22.335Z..2026-06-24T12:55:53.996Z.
Criterio FP	FP por summary/vr_hits del RunId TFM_FP_20260626_101948 dentro de 2026-06-26T08:19:48.709Z..2026-06-26T08:20:18.059Z.
Advertencia	CSV con fechas mezcladas se registran en DISCREPANCIAS y no se agregan como definitivos fuera de ventana.
Limitaciones	ETW no concluyente; TrackNetwork acredita conexión sin proceso atribuible; SERVER_EVENT/Router/Discord no son detección; HTTP 200 pertenece al runner independiente.
Artifacts públicos	04_EVIDENCE\PRUEBAS_CON_ARTIFACTS_PUBLICOS; 6/6 campañas, 112 ficheros, ventanas TEC/FP.
Criterio de detección comparativa	Unidad=técnicas TEC/9: VR custom=9/9; Hayabusa CH=3/9; Wazuh base=3/9; Wazuh custom=4/9. Visibilidad, alerta RT, transporte y salida externa permanecen separadas.
Artifacts custom validados	P1-P4 CLIENT_EVENT + Router SERVER_EVENT; 27 sources detectoras declaradas, 25 con alertas en campaña final.
Alcance excluido	CPU, memoria, E/S, consumo por proceso y escenarios de rendimiento pertenecen a otro libro y no se analizan aquí.
Excel antiguos	Los dos ficheros históricos comparados son idénticos; no se recuperan métricas obsoletas ni estados Pendiente.
