Incoherencias cerradas / decisiones definitivas			
Hoja de control para mantener el prompt y la memoria sin contradicciones.			
			
ID	Tema	Decisión definitiva	Acción
INC-001	TEC-009 MITRE	Principal = T1074.001 + T1560.001. T1020/T1041 solo contextual si hay telemetría de red externa.	Actualizar prompt, Excel y memoria
INC-002	TEC-009 envío real	La ejecución final del 12/07 confirma HTTP 200, UploadSucceeded=True, ZIP 6245 B, SHA-256 y bytes del ReceiverResponse.	Afirmar transferencia HTTP controlada del runner; separar de la visibilidad TrackNetwork.
INC-003	Sabotaje script	sabotaje.ps1 tiene cabecera errónea TEC-009, pero comportamiento y final indican TEC-008.	Corregir cabecera
INC-004	P4-P1	No son 36 artifacts. Son 4 artifacts por perfil con sources internas por técnica.	Mantener arquitectura P4/P3/P2/P1
INC-005	Riesgo endpoint	La columna debe entenderse como intensidad/perfil operativo, no criticidad real del endpoint.	Usar 'perfil operativo / intensidad de monitorización'
INC-006	Cobertura /14	Usar /14 por criterio de tutoría. Separar principal 5/14, ampliada 6/14 y contextual 7/14.	No inflar cobertura
INC-007	Sysmon ID26	Evidencia forense de borrado; no alerta Discord por fichero.	Mantener como P2/P1 forense
INC-008	FortiEDR	No comparativa experimental. Solo marco conceptual EDR/SIEM/HIDS si se menciona.	Eliminar de objetivos empíricos
INC-009	Hayabusa.Rules	Histórico/hunt, no HIDS RT. No contar como monitoring continuo.	Mantener como complemento
INC-010	Rutas TFM/DUMB_LAB	Válidas para validación y consultas; prohibidas como lógica de detección final.	Separar laboratorio vs detección final
INC-011	Hayabusa CH	La salida contiene niveles informational/low/medium pese al control CH; el veredicto CH usa solo high/critical.	No inventar campaña CHM.
INC-012	ETW vacío	0 filas no es negativo válido porque faltan runner/log/summary TEC y parámetros aplicados.	Clasificar NO CONCLUYENTE.
INC-013	TrackNetwork TEC-009	Tres filas destino se sitúan en ventana por _ts, pero Timestamp=1601, PID=0 y ProcInfo vacío.	No atribuir la conexión a PowerShell.
INC-014	Filtrado temporal	Exports contienen filas fuera de ventana y duplicados; se usan conteos filtrados/deduplicados documentados.	No agregar conteos raw.
INC-015	Capas	CLIENT_EVENT aporta visibilidad/detección/alerta según el artifact; SERVER_EVENT y Router transportan o notifican. El runner independiente acredita HTTP 200; TrackNetwork solo acredita conexión visible.	Excluir salida externa de cobertura detectora y no atribuir el HTTP 200 a TrackNetworkConnections.
INC-016	Wazuh base/custom	Base=ruleset nativo; custom=reglas TFM 110xxx. La campaña TEC conserva ambos grupos y se separan por rule_id.	Reportar base 3/9 y custom 4/9; no usar una etiqueta agregada ambigua.
INC-017	Unidad Wazuh	La cobertura es n.º de técnicas TEC únicas detectadas sobre 9; eventos, alertas y rule_id son trazabilidad, no el numerador.	No mezclar 902/58/18.285/110/56 con técnicas detectadas.
