Modelo de alertabilidad · artifacts públicos						
Separar visibilidad, detección, alerta en tiempo real, evidencia forense y transporte/salida externa; CLIENT_EVENT detecta y SERVER_EVENT/Router transportan o notifican.						
						
Nivel	Definición	Ejemplo	¿Cuenta como alerta HIDS?	Uso en el TFM		
Visibilidad	El evento aparece en logs o Client Events, pero sin regla ni severidad.	ProcessCreation ve powershell.exe	No	Demuestra telemetría host-based.		
Detección	Una regla/artifact clasifica el evento como sospechoso o relevante.	Hayabusa.Rules: Potentially Malicious PwSh	Parcial	Comparación pública; puede ser histórico.		
Alerta real-time	CLIENT_EVENT genera detección en tiempo real con severidad/regla.	Hayabusa.Monitoring con regla Sigma	Sí	Base pública más cercana a HIDS.		
Transporte / salida externa	SERVER_EVENT o Router reenvía una detección ya emitida; un runner independiente puede acreditar HTTP.	Server.Alerts.Notification / Router Discord / runner HTTP	No: no es capacidad directa del CLIENT_EVENT	Se evalúa separadamente de la cobertura detectora.		
						
Artifact	Tipo	Rol	¿Detecta todas las TEC?	¿Genera alerta real-time?	Limitación	Decisión TFM
Windows.Hayabusa.Monitoring	CLIENT_EVENT	Detección pública Sigma/Hayabusa en tiempo real	No garantizado	Sí, si hay regla que haga match	Depende de reglas y fuentes EVTX; puede no cubrir TEC-007/008/009 de laboratorio	Probar como artifact público alertante principal, no como única solución
Windows.Hayabusa.Rules	CLIENT	Detección histórica Sigma/Hayabusa sobre EVTX	No garantizado	No	No es tiempo real; genera ruido si no se acota por fecha/reglas	Usar como línea base pública histórica
Windows.Events.ProcessCreation	CLIENT_EVENT	Telemetría de procesos en tiempo real	No	No por sí solo	No tiene severidad ni semántica MITRE	Fuente P4 y entrada para custom
Windows.Events.ServiceCreation	CLIENT_EVENT	Evento fuerte de creación de servicio	Solo TEC-005	Parcial	Detecta 7045, pero no normaliza alerta SOC	Mantener P4/P3 y enrutar con SERVER_EVENT/custom
Windows.Sysinternals.SysmonLogForward	CLIENT_EVENT	Reenvío de eventos Sysmon	No	No por sí solo	Mucho volumen; evidencia raw	Usar como evidencia P2/P1, no como alerta directa
Windows.Packs.Persistence / Autoruns / StartupItems	CLIENT	Hunt post-ejecución de persistencia	No	No	No continuo; útil tras ejecución	Complemento para TEC-003/004/005
Server.Alerts.Notification	SERVER_EVENT	Transporte de alertas a webhook	N/A	Sí, como transporte	No detecta; solo reenvía alertas/eventos	Evaluar aparte como transporte; no incluir en cobertura CLIENT_EVENT
						
Pregunta	Respuesta técnica					
¿Hayabusa.Monitoring puede detectar todas las técnicas?	No de forma garantizada. Es el mejor artifact público para alerta real-time, pero depende de que exista una regla Sigma/Hayabusa compatible con la evidencia generada.					
¿Necesito otros artifacts públicos?	Sí. ProcessCreation, ServiceCreation, SysmonLogForward y TrackNetwork aportan visibilidad o contexto; Hayabusa CH aporta detección 3/9. SERVER_EVENT y Router se evalúan aparte como transporte/salida externa.					
¿Cuándo justifico custom?	Cuando la fuente pública solo da visibilidad, cuando Hayabusa detecta genérico/ruidoso o cuando falta una alerta resumida por TEC con CU_ID, severidad y confianza. La salida externa no forma parte del detector CLIENT_EVENT.					
