Dashboard definitivo · eficacia HIDS/DFIR																						
Custom P1-P4, artifacts públicos, falsos positivos y Wazuh; visibilidad, detección, alerta, transporte y salida externa permanecen separados.																		Sistema	Técnicas detectadas			
KPI	Valor	Evidencia / interpretación		Cobertura táctica MITRE ATT&CK Enterprise					Navegación interna									VR custom	9			
Artifacts custom validados	5	4 detectores CLIENT_EVENT + 1 Router SERVER_EVENT de transporte.		Principal	5/14	0.357142857142857	5 tácticas principales		Catálogo de artifacts									Públicos CH	3			
Técnicas custom detectadas	9/9	379 alertas CLIENT_EVENT; P1=19, P2=118, P3=109, P4=133.		Ampliada	6/14	0.428571428571429	6 con contexto ampliado		Resultados custom									Wazuh base	3			
Sources detectoras con alertas	25/27	Dos sources declaradas no generaron filas en la ventana final.		Contextual	7/14	0.5	7 con red contextual		Visibilidad del sistema									Wazuh custom	4			
FP custom	10/10 OK; 0 hits	Runner FP custom; no incluye Hayabusa Monitoring.							Alertas VR													
Artifacts públicos	5 POSITIVO; 1 NO CONCLUYENTE	Hayabusa CH 3/9; ETW no concluyente.		/14 corresponde a tácticas MITRE ATT&CK Enterprise consideradas en la clasificación; no corresponde a las 9 técnicas TEC ejecutadas en el laboratorio.					Runner FP													
Wazuh base	3/9	TEC-002/004/006; ruleset nativo.							Hits FP									TEC	VR custom	Públicos CH	Wazuh base	Wazuh custom
Wazuh custom	4/9	TEC-001/005/007/008; reglas TFM 110xxx.							Comparación VR-Wazuh									TEC-001	1	1	0	1
Visibilidad Sysmon	ID 1/3/11/12-14/26	Telemetría y evidencia; ID26 no es alerta individual.							Detalle Wazuh									TEC-002	1	0	1	0
TEC-009	HTTP 200 por runner	TrackNetwork observa conexión sin proceso atribuible; HTTP no se atribuye al artifact.		Salida externa evaluada separadamente mediante SERVER_EVENT, Router, Discord, webhook o runner; no se considera una capacidad directa del CLIENT_EVENT.					Gráficas									TEC-003	1	1	0	0
Separación de capas	CLIENT_EVENT ≠ SERVER_EVENT	Router/Discord/webhook transportan o notifican; no detectan.							Fuentes									TEC-004	1	0	1	0
																		TEC-005	1	1	0	1
							Wazuh base usa el ruleset nativo; Wazuh custom usa reglas TFM 110xxx. La métrica cuenta técnicas detectadas, no alertas.											TEC-006	1	0	1	0
																		TEC-007	1	0	0	1
																		TEC-008	1	0	0	1
																		TEC-009	1	0	0	0
																						
																						
																		Capa	Custom	Públicos		
																		Visibilidad	9	9		
																		Detección	9	3		
																		Alerta RT	9	3		
																						
																						
																						
																		Cobertura /14	Tácticas			
																		Principal	5			
																		Ampliada	6			
																		Contextual	7			
																						
																						
																						
																		Artifact	Filas FP	FP CH High/Critical		
																		Hayabusa Monitoring CH	73	4		
																		ServiceCreation	0	0		
																		ProcessCreation	18	0		
																		SysmonLogForward	24	0		
																		ETW Monitoring	0	0		
																		TrackNetworkConnections	12	0		
																						
																						
																		Estado	Campañas			
																		POSITIVO	5			
																		NEGATIVO VÁLIDO	0			
																		NO CONCLUYENTE	1			
																		NO EJECUTADO	0			
																		NO APLICABLE	0			
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
